m,H,seed,profits,n_served,energy_c,energy_d,satisfaction,degradation,track_err
0.8,10,0,-9.62176431100869,3,85.48992636528746,30.97965473386737,1.0,0.0001955130302821202,13950.135228776453
0.8,10,1,-13.323935523456154,3,140.9598927081653,66.0999189700444,1.0,0.0003577967855280926,26122.428677128166
0.8,10,2,-4.351166688475047,2,52.927648311121786,24.689622159539002,1.0,0.00014723954196454973,6538.156251512832
0.8,10,3,-3.332624723133055,2,74.47003715846293,54.52716922896053,1.0,0.00021123607990099205,10944.94122584064
0.8,10,4,-1.6632517262016362,1,35.999997071402554,22.04995942694597,1.0,0.00010232792410366743,4984.021824421888
0.8,10,5,-2.8070199994792384,2,47.33996926746583,37.549919272453934,1.0,0.00014416731013054793,9984.357474533377
0.8,10,6,-9.326051257277218,3,129.52902248572082,72.278473308946,0.9541666666666666,0.0003446394928232839,24582.73191357644
0.8,10,7,-5.417825989464713,3,88.40991461153232,63.46993490006405,1.0,0.0002484293876568465,18657.309080911866
0.8,10,8,-4.953020581030997,3,102.43304135461668,74.04115366569592,0.95425,0.0003291336397458467,18858.46225040179
0.8,10,9,-1.1089224429322813,1,22.1500143759336,16.49998711072078,1.0,5.669450829436126e-05,3269.2332934143997
0.9,10,0,-7.310621793752718,3,145.10094215617926,90.73961994255764,1.0,0.00039356932084148486,25215.295805956095
0.9,10,1,-9.332986187565101,3,198.4199128064305,123.69989211403814,1.0,0.0006287983771452884,43612.82169720013
0.9,10,2,-2.302415934563423,2,99.44995798500292,71.23977625875344,1.0,0.0003304376739024776,14389.045144723465
0.9,10,3,-0.5744770573847017,2,117.4599084032071,97.57991389457024,1.0,0.000360117082969858,18105.139377426432
0.9,10,4,-0.7002255178258556,1,54.97994838480692,41.04997481690521,1.0,0.00014442073701185481,8325.29962373939
0.9,10,5,-1.5874204126489904,2,52.47997553119431,42.689925536182415,1.0,0.00016979186162820441,13144.322697756674
0.9,10,6,-6.209755181001427,3,162.03903250447883,104.74863194491067,0.9541666666666666,0.00046341909946518215,31978.635927982086
0.9,10,7,-3.2589605770380645,3,93.99000034444789,69.07737493935856,1.0,0.00026615618402876925,19789.580002295803
0.9,10,8,-0.8859144260324627,3,154.9628982788305,126.4398520810445,0.95425,0.0005191761769846573,31206.91528495671
0.9,10,9,-0.22943226406267492,1,40.679965033125114,35.05997845711877,1.0,0.00014566555581126128,6370.212651421697
1.0,10,0,-4.611487092401211,3,176.97004991287884,122.66965788274132,1.0,0.0005199844773463987,31718.467588939784
1.0,10,1,-6.1088071012992895,3,239.48854851973564,164.88972308680133,1.0,0.0007735911446682909,58284.35441110223
1.0,10,2,-0.4273182934661306,2,122.86006215129117,94.74971939786698,1.0,0.00043051963809837,18734.857815318537
1.0,10,3,2.0451505274624857,2,137.41994974595343,117.6298014892325,1.0,0.00043069480283152567,22069.460806242303
1.0,10,4,0.4444030737603216,1,63.449926249135025,49.54993794481395,1.0,0.00017690494682095803,9819.249568448517
1.0,10,5,-0.7049795303140659,2,58.949975112632316,49.19983156822681,1.0,0.00019697346084165477,11663.465362685954
1.0,10,6,-3.4071344184489485,3,192.93865430486858,135.68987672006944,0.9541666666666666,0.0005606077976456111,40498.16085517108
1.0,10,7,-1.6442465331420508,3,96.90001197804114,72.00606500886062,1.0,0.0002711703262748091,20728.30437285887
1.0,10,8,2.311181769217085,3,189.0129473165565,160.61634606223856,0.95425,0.0006712080425571448,37422.14592052661
1.0,10,9,0.44011417117143714,1,46.98995644027231,41.369964256750336,1.0,0.0001437532662643897,7533.906192482305
1.1,10,0,-0.8249991868648658,3,220.8300104105902,166.55982534653668,1.0,0.0006380660369239628,40411.033800450066
1.1,10,1,-1.0996982712707344,3,308.0187876335672,233.5944039470162,1.0,0.0009719357847872062,73485.6198238864
1.1,10,2,2.4322508073634923,2,159.12043156911858,130.91998399185678,1.0,0.0005015420573419281,24902.802895994864
1.1,10,3,5.556979247037422,2,178.18540579256486,158.4809138742678,1.0,0.00058175359143073,28602.462712643563
1.1,10,4,2.2623864046645,1,88.88047817493265,75.02994683072086,1.0,0.00024034749736950994,14075.999949324294
1.1,10,5,0.8515072474981953,2,86.26998662339065,76.55991580646906,1.0,0.000261062632082755,20108.490228842486
1.1,10,6,1.2376678906878644,3,258.1498960920172,201.07984735670067,0.95425,0.0007590807360813017,51154.49833798043
1.1,10,7,1.0965368215877045,3,146.28984259165503,121.48859322166979,1.0,0.0004039825506277628,32920.40338779339
1.1,10,8,7.612563925770581,3,269.53999029762366,241.3052170141836,0.95425,0.0009423015657741413,45131.7099346338
1.1,10,9,1.5660426672859802,1,52.440069080587904,46.85998334767233,1.0,0.00015081878413962242,8493.932961054721
1.2,10,0,2.8727802225571297,3,219.35489556064397,165.00984771985947,1.0,0.0006249601188459858,40429.057399160825
1.2,10,1,4.238934196571367,3,316.132028926193,241.60981030102528,1.0,0.000985006255495001,76560.75511745752
1.2,10,2,5.442728052948933,2,163.06047303336334,134.8699466431273,1.0,0.0005178432864273955,25874.86384830872
1.2,10,3,9.149367197763535,2,178.20535901786803,158.4809138742678,1.0,0.000589080281389313,28605.85300290763
1.2,10,4,4.070875474444533,1,88.87548986860685,75.02994683072086,1.0,0.00024034061713546482,14075.122406227973
1.2,10,5,2.510684939931859,2,89.28996269865482,79.53998543112687,1.0,0.000279921535400784,23934.546213126134
1.2,10,6,5.952519678800459,3,260.1798596384879,203.06984902693915,0.95425,0.0007774158928820401,51731.79814526977
1.2,10,7,3.817163966916178,3,146.29000886853254,121.48604364288104,1.0,0.00040501527420334503,32920.14796898302
1.2,10,8,12.98657395601678,3,271.59192416711403,243.30674721459727,0.95425,0.0009166200436885801,57033.97590593292
1.2,10,9,2.686986847719781,1,52.43009246793631,46.85998334767233,1.0,0.00016038033278402403,8492.17867112448
0.8,40,0,-8.407293360605857,3,91.17990464817755,36.64969625752486,1.0,0.00021988202679532515,12519.310823903235
0.8,40,1,-11.237872360269069,3,147.44984551490649,72.57996789161791,1.0,0.000421419123348433,28348.833758527464
0.8,40,2,-3.3195654193945243,2,60.3876049957274,32.079797981209296,1.0,0.0001690845676526522,7791.740333309953
0.8,40,3,-2.067278730232005,2,76.99992374177255,57.059961271413144,1.0,0.00024595833382557407,11434.714404143107
0.8,40,4,-1.6632517262016362,1,35.999997071402554,22.04995942694597,1.0,0.00010232892529298079,4984.021824421888
0.8,40,5,-1.6539569321416008,2,15.363152099071343,5.519948928876787,1.0,4.327412477382685e-05,1756.5956561141763
0.8,40,6,-8.293860203514122,3,136.94907271972005,79.62866643247438,0.95425,0.0003800944248437076,25654.095134785537
0.8,40,7,-4.1301560986660215,3,50.01996455381392,25.07981856546813,1.0,0.00012876656824791597,6195.221026062337
0.8,40,8,-2.8350673769971015,3,102.16877197060106,73.55994838213392,0.95425,0.0003253243994859215,18793.36831480627
0.8,40,9,-1.111160002562766,1,21.181715209063924,15.520006620204772,1.0,5.381633024136034e-05,3097.3235314728954
0.9,40,0,-6.744272150786866,3,131.4199594716573,76.9697328839463,1.0,0.0003620327834274339,23594.852145303546
0.9,40,1,-8.789634181297078,3,172.43992999213611,97.6499588194539,1.0,0.0005163556984493947,33469.75591751677
0.9,40,2,-2.0393125852656127,2,86.45996657785574,58.169914854529125,1.0,0.00027961518016789827,12322.761668972547
0.9,40,3,-0.18798086700068184,2,104.56990482507923,84.6699596565779,1.0,0.00032138227727465245,16151.011996745736
0.9,40,4,-0.6703389009957995,1,57.94998597118726,44.04994224124036,1.0,0.00016145906597531744,8847.256843239426
0.9,40,5,-1.4204649536426293,2,43.99996562858877,34.19988359529944,1.0,0.0001337403235927795,11841.678285520897
0.9,40,6,-5.9308073960723675,3,149.0290324464026,91.73864954650531,0.9541666666666666,0.0004430401915513015,29915.636632196576
0.9,40,7,-3.179893675522148,3,90.96004765653211,66.14964440735389,1.0,0.0002709895024431161,18722.043377778686
0.9,40,8,-0.4718145859953311,3,131.85915046059245,103.31353284674591,0.95425,0.00045490854614119094,26209.051827183608
0.9,40,9,-0.227786155632959,1,40.67169313146825,35.05997845711877,1.0,0.0001446558952181762,6368.713763328001
1.0,40,0,-4.615580269286844,3,187.22005808583316,132.90976395959188,1.0,0.0005384958607163142,34376.25483756749
1.0,40,1,-6.099419340475893,3,254.38858133305135,179.8397412217739,1.0,0.0008122362223891825,62041.98285367707
1.0,40,2,0.9415221249033139,2,125.79011877051727,103.1598375862855,0.931375,0.0004354907471655052,19735.478838325256
1.0,40,3,2.0377780387445874,2,136.51987689964412,116.70985118718082,1.0,0.00042516672222623264,21711.009841401854
1.0,40,4,0.5498122018121723,1,74.34344502903934,60.52988257726434,1.0,0.0002340780740931062,11526.33331723469
1.0,40,5,-0.7129209139847364,2,50.48997386095581,40.69992386594392,1.0,0.00015883651663698946,12818.406834339841
1.0,40,6,-3.3908592167535168,3,196.83877022758497,139.6834959706452,0.95425,0.0006035617454140551,40944.565033685016
1.0,40,7,-1.6250333565715538,3,100.87260552843712,76.07843339477783,1.0,0.00028683764960145327,20235.320599517527
1.0,40,8,2.257527626795674,3,179.93915654073683,151.59313274911463,0.95425,0.000634770775788982,37584.858830696445
1.0,40,9,0.6703659831028499,1,46.94993913841424,41.358214024071785,1.0,0.00014713037476754792,7474.646007496706
1.1,40,0,-0.8346780764021031,3,215.46987265193854,161.09984694482117,1.0,0.0006365943492696732,39634.978951090176
1.1,40,1,-0.8343496732051786,3,311.4505034394312,236.96991602273602,1.0,0.0010087536414839224,73191.2840964383
1.1,40,2,2.5535589783356576,2,159.060533711365,130.9299051788825,1.0,0.000520787244067406,24894.857877479415
1.1,40,3,5.720304991076365,2,181.2710784782339,161.54090725139002,1.0,0.0005953500798146971,29436.99471580362
1.1,40,4,2.3943009229185566,1,90.81056474363571,76.99993985003032,1.0,0.00025554797838110564,14599.205866733571
1.1,40,5,0.9736843323015127,2,92.19005314522231,82.49993555360393,1.0,0.0002714848543640332,19309.725488922617
1.1,40,6,1.337991710627014,3,258.22981984448154,201.12984127121035,0.95425,0.0007964256046458101,51185.857200341015
1.1,40,7,1.263870155883373,3,154.28000081306715,129.5173276786681,1.0,0.0004456194540632734,32701.20496304945
1.1,40,8,6.575535045096003,3,276.2749071268056,242.534446544112,1.0,0.0009356479554244764,56719.646796546054
1.1,40,9,1.7718866805129108,1,50.34013930338233,44.809955724646734,1.0,0.00015546322849678424,8072.179309891585
1.2,40,0,3.1731653642760826,3,222.92990385309196,168.549882442401,1.0,0.0006469289516943344,41010.21436678962
1.2,40,1,4.4211025549235385,3,311.47045666473434,236.96991602273602,1.0,0.0009988670724674267,73198.25001185693
1.2,40,2,5.5471558466125535,2,161.08042888485443,132.88992158554038,1.0,0.0005213874994603746,25311.81447992523
1.2,40,3,9.389468811790543,2,181.2610291961746,161.5398584001762,1.0,0.0006002351942636,29482.632891989993
1.2,40,4,4.245904371113861,1,90.81555304996151,76.99993985003032,1.0,0.0002684983851488929,14600.262323306499
1.2,40,5,2.6384176843947853,2,92.2000297578739,82.49993555360393,1.0,0.00028105103772249824,22085.862313279482
1.2,40,6,6.054053058490888,3,258.2397964571332,201.11986465855875,0.95425,0.0007532012541610835,51186.058875813906
1.2,40,7,4.149405930653792,3,154.26004758776395,129.5173276786681,1.0,0.0004239390494599982,34092.41573941246
1.2,40,8,11.97286214624355,3,276.37445155081815,242.62429148360224,1.0,0.0009149864535083795,61706.573146669056
1.2,40,9,2.8572397966929723,1,50.36005619398168,44.80823753024563,1.0,0.00015416035669413191,8075.640221417471
